,engineRpm,speedMps,fuelRangeM,throttlePercentage,brakePercentage,steeringPercentage,parkingBrake,highBeamSignal,drivingMode,errorCode,gearLocation,header_timestampSec,header_moduleName,signal_turnSignal,angularVelocityVrf_z,realSteeringAngle,batterySoc,cmdDrivingMode,driveMotorTorqueNm,batteryVoltage,batteryCurrent,enableButton,disableButton,batch
73,1071,3.23696256,0,0,0,0.0533333346,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.7355258,had-canbus,TURN_NONE,0,0.4,100,0.0,12,556.4,1.9,False,False,0.0
74,1071,3.23696256,0,0,0,0.0533333346,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.745514,had-canbus,TURN_NONE,0,0.4,100,0.0,12,556.4,1.9,False,False,0.0
75,1071,3.23696256,0,0,0,0.0533333346,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.7555048,had-canbus,TURN_NONE,0,0.4,100,0.0,13,556.4,1.9,False,False,0.0
76,1071,3.23696256,0,0,0,0.0533333346,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.7654998,had-canbus,TURN_NONE,0,0.4,100,0.0,12,556.4,1.9,False,False,0.0
77,1071,3.22132492,0,0,0,0.0533333346,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.775519,had-canbus,TURN_NONE,0,0.4,100,0.0,11,556.4,1.9,False,False,0.0
78,1071,3.22132492,0,0,0,0.0533333346,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.785528,had-canbus,TURN_NONE,0,0.4,100,0.0,14,556.4,1.9,False,False,0.0
79,1071,3.22132492,0,0,0,0.0533333346,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.795634,had-canbus,TURN_NONE,0,0.4,100,0.0,11,556.4,1.9,False,False,0.0
80,1071,3.22132492,0,0,0,0.04,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.805573,had-canbus,TURN_NONE,0,0.3,100,0.0,10,556.4,1.9,False,False,0.0
81,1071,3.22132492,0,0,0,0.04,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.8156219,had-canbus,TURN_NONE,0,0.3,100,0.0,11,556.4,1.9,False,False,0.0
82,1071,3.20568752,0,0,0,0.04,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.825502,had-canbus,TURN_NONE,0,0.3,100,0.0,11,556.4,1.9,False,False,0.0
83,1070,3.20568752,0,0,0,0.04,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.835537,had-canbus,TURN_NONE,0,0.3,100,0.0,10,556.4,1.9,False,False,0.0
84,1070,3.20568752,0,0,0,0.04,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.845512,had-canbus,TURN_NONE,0,0.3,100,0.0,8,556.4,1.9,False,False,0.0
85,1069,3.19005,0,0,0,0.04,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.8555958,had-canbus,TURN_NONE,0,0.3,100,0.0,11,556.4,1.9,False,False,0.0
86,1068,3.19005,0,0,0,0.04,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.865507,had-canbus,TURN_NONE,0,0.3,100,0.0,9,556.4,1.9,False,False,0.0
87,1067,3.19005,0,0,0,0.04,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.875532,had-canbus,TURN_NONE,0,0.3,100,0.0,8,556.4,1.9,False,False,0.0
88,1066,3.19005,0,0,0,0.04,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.885566,had-canbus,TURN_NONE,0,0.3,100,0.0,9,556.4,2.8,False,False,0.0
89,1064,3.19005,0,0,0,0.04,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.895485,had-canbus,TURN_NONE,0,0.3,100,0.0,9,556.4,2.8,False,False,0.0
90,1062,3.19005,0,0,0,0.04,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.9054909,had-canbus,TURN_NONE,0,0.3,100,0.0,8,556.4,2.8,False,False,0.0
91,1061,3.19005,0,0,0,0.04,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.9155629,had-canbus,TURN_NONE,0,0.3,100,0.0,8,556.4,2.8,False,False,0.0
92,1059,3.19005,0,0,0,0.04,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.925499,had-canbus,TURN_NONE,0,0.3,100,0.0,10,556.4,2.8,False,False,0.0
93,1057,3.17441249,0,0,0,0.04,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.935515,had-canbus,TURN_NONE,0,0.3,100,0.0,9,556.4,2.8,False,False,0.0
94,1056,3.17441249,0,0,0,0.04,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.945484,had-canbus,TURN_NONE,0,0.3,100,0.0,8,556.4,2.8,False,False,0.0
95,1054,3.17441249,0,0,0,0.04,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.9554849,had-canbus,TURN_NONE,0,0.3,100,0.0,10,556.4,2.8,False,False,0.0
96,1052,3.15877509,0,0,0,0.04,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.965525,had-canbus,TURN_NONE,0,0.3,100,0.0,9,556.4,2.8,False,False,0.0
97,1050,3.15877509,0,0,0,0.04,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.975514,had-canbus,TURN_NONE,0,0.3,100,0.0,9,556.4,2.8,False,False,0.0
98,1049,3.15877509,0,0,0,0.04,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.985657,had-canbus,TURN_NONE,0,0.3,100,0.0,10,556.4,2.8,False,False,0.0
99,1048,3.15877509,0,0,0,0.04,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.99553,had-canbus,TURN_NONE,0,0.3,100,0.0,11,556.4,2.8,False,False,0.0
100,1047,3.15877509,0,0,0,0.106666669,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108870.005518,had-canbus,TURN_NONE,0,0.8,100,0.0,11,556.4,2.8,False,False,0.0
101,1046,3.15877509,0,0,0,0.106666669,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108870.0155509,had-canbus,TURN_NONE,0,0.8,100,0.0,10,556.4,2.8,False,False,0.0
102,1045,3.15877509,0,0,0,0.106666669,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108870.0254948,had-canbus,TURN_NONE,0,0.8,100,0.0,13,556.4,2.8,False,False,0.0
103,1045,3.15877509,0,0,0,0.106666669,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108870.0354888,had-canbus,TURN_NONE,0,0.8,100,0.0,11,556.4,2.8,False,False,0.0
